last_updated,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,pm2_5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,year,month,day,day_of_week,week_of_year,season_Spring,season_Summer,season_Winter,is_outlier,lag_1,lag_7,rolling_mean_7,rolling_mean_30
2024-06-14,51.52,-0.11,1718373600.0,17.4,63.4,15.2,24.5,222.0,1000.0,29.54,0.61,0.02,60.0,58.0,17.4,63.4,10.0,6.0,4.0,20.3,32.7,181.9,81.5,5.1,3.0,1.2,1.5,1.0,1.0,48.0,2024.0,6.0,14.0,4.0,24.0,0.0,1.0,0.0,0.0,16.2,19.2,16.099999999999998,17.18
2024-06-15,51.52,-0.11,1718460000.0,16.2,61.2,23.0,37.1,260.0,998.0,29.47,0.01,0.0,59.0,75.0,16.2,61.2,10.0,6.0,4.0,27.5,44.3,163.6,83.0,2.6,1.6,0.6,0.8,1.0,1.0,57.0,2024.0,6.0,15.0,5.0,24.0,0.0,1.0,0.0,0.0,17.4,16.0,16.128571428571426,17.236666666666668
2024-06-16,51.52,-0.11,1718545500.0,19.4,66.9,13.6,22.0,270.0,1002.0,29.59,0.0,0.0,46.0,0.0,19.4,66.9,10.0,6.0,6.0,18.1,29.2,168.6,80.8,3.0,2.2,0.7,0.9,1.0,1.0,67.0,2024.0,6.0,16.0,6.0,24.0,0.0,1.0,0.0,0.0,16.2,15.4,16.7,17.183333333333334
2024-06-17,51.52,-0.11,1718632800.0,21.3,70.4,8.9,14.4,260.0,1010.0,29.83,0.0,0.0,38.0,37.0,21.3,70.4,10.0,6.0,6.0,10.3,16.6,170.2,93.0,4.5,3.5,1.4,1.9,1.0,1.0,75.0,2024.0,6.0,17.0,0.0,25.0,0.0,1.0,0.0,0.0,19.4,16.2,17.428571428571427,17.293333333333333
2024-06-18,51.52,-0.11,1718719200.0,21.3,70.35,9.15,14.75,165.0,1016.0,30.005,0.0,0.0,42.0,56.0,21.3,70.35,10.0,6.0,5.0,10.95,17.6,168.55,88.0,4.5,3.1,1.2999999999999998,1.9,1.0,1.0,82.5,2024.0,6.0,18.0,1.0,25.0,0.0,1.0,0.0,0.0,21.3,15.3,18.285714285714285,17.27
2024-06-19,51.52,-0.11,1718805600.0,21.3,70.3,9.4,15.1,70.0,1022.0,30.18,0.0,0.0,46.0,75.0,21.3,70.3,10.0,6.0,4.0,11.6,18.6,166.9,83.0,4.5,2.7,1.2,1.9,1.0,1.0,90.0,2024.0,6.0,19.0,2.0,25.0,0.0,1.0,0.0,0.0,21.3,16.2,19.014285714285712,17.313333333333333
2024-06-20,51.52,-0.11,1718891100.0,22.3,72.1,6.5,10.4,57.0,1018.0,30.06,0.0,0.0,39.0,9.0,24.0,75.3,10.0,6.0,6.0,7.5,12.0,168.6,93.0,4.9,4.7,2.9,5.1,1.0,1.0,95.0,2024.0,6.0,20.0,3.0,25.0,0.0,1.0,0.0,0.0,21.3,16.2,19.885714285714283,17.59
2024-06-21,51.52,-0.11,1718977500.0,24.0,75.2,12.5,20.2,270.0,1012.0,29.88,0.0,0.0,41.0,0.0,25.1,77.3,10.0,6.0,5.0,17.0,27.4,171.9,120.2,8.9,7.2,6.8,8.1,1.0,1.0,99.0,2024.0,6.0,21.0,4.0,25.0,0.0,1.0,0.0,0.0,22.3,17.4,20.82857142857143,17.923333333333336
2024-06-22,51.52,-0.11,1719063900.0,19.1,66.4,11.9,19.1,290.0,1013.0,29.91,0.08,0.0,56.0,75.0,19.1,66.4,10.0,6.0,5.0,16.3,26.3,163.6,78.7,2.9,1.9,1.3,1.6,1.0,1.0,100.0,2024.0,6.0,22.0,5.0,25.0,0.0,1.0,0.0,0.0,24.0,16.2,21.242857142857144,17.993333333333332
2024-06-23,51.52,-0.11,1719150300.0,22.1,71.8,5.6,9.0,290.0,1020.0,30.12,0.0,0.0,57.0,75.0,24.5,76.0,10.0,6.0,6.0,9.8,15.7,171.9,124.5,4.2,5.7,4.8,5.9,1.0,1.0,99.0,2024.0,6.0,23.0,6.0,25.0,0.0,1.0,0.0,0.0,19.1,19.4,21.62857142857143,18.163333333333334
2024-06-24,51.52,-0.11,1719236700.0,26.3,79.3,2.5,4.0,50.0,1018.0,30.06,0.0,0.0,48.0,50.0,26.7,80.0,10.0,6.0,7.0,10.0,16.2,190.3,157.4,10.9,13.8,12.2,13.4,1.0,2.0,95.0,2024.0,6.0,24.0,0.0,26.0,0.0,1.0,0.0,0.0,22.1,21.3,22.342857142857145,18.40666666666667
2024-06-25,51.52,-0.11,1719321300.0,28.1,82.6,9.6,15.5,96.0,1015.0,29.96,0.0,0.0,39.0,30.0,27.9,82.2,10.0,6.0,7.0,11.1,17.8,195.3,183.1,10.2,15.7,15.7,17.1,2.0,2.0,89.0,2024.0,6.0,25.0,1.0,26.0,0.0,1.0,0.0,0.0,26.3,21.3,23.314285714285717,18.743333333333332
